id;char;stroke_count;first_stroke
20;刀;2 画;乛
21;力;2 画;乛
22;又;2 画;乛
23;乜;2 画;乛
24;三;3 画;一
25;干;3 画;一
26;亍;3 画;一
27;于;3 画;一
28;亏;3 画;一
29;士;3 画;一
30;土;3 画;一
31;工;3 画;一
32;才;3 画;一
33;下;3 画;一
34;寸;3 画;一
35;丈;3 画;一
36;大;3 画;一
37;兀;3 画;一
38;与;3 画;一
39;万;3 画;一
40;弋;3 画;一
41;上;3 画;丨
42;小;3 画;丨
43;口;3 画;丨
44;山;3 画;丨
45;巾;3 画;丨
46;千;3 画;丿
47;乞;3 画;丿
48;川;3 画;丿
49;亿;3 画;丿
50;彳;3 画;丿
51;个;3 画;丿
52;么;3 画;丿
53;久;3 画;丿
54;勺;3 画;丿
55;丸;3 画;丿
56;夕;3 画;丿
57;凡;3 画;丿
58;及;3 画;丿
59;广;3 画;丶
60;亡;3 画;丶
61;门;3 画;丶
62;丫;3 画;丶
63;义;3 画;丶
64;之;3 画;丶
65;尸;3 画;乛
66;已;3 画;乛
67;巳;3 画;乛
68;弓;3 画;乛
69;己;3 画;乛
70;卫;3 画;乛
71;孑;3 画;乛
72;子;3 画;乛
73;孓;3 画;乛
74;也;3 画;乛
75;女;3 画;乛
76;飞;3 画;乛
77;刃;3 画;乛
78;习;3 画;乛
79;叉;3 画;乛
80;马;3 画;乛
81;乡;3 画;乛
82;幺;3 画;乛
83;丰;4 画;一
84;王;4 画;一
85;井;4 画;一
86;开;4 画;一
87;亓;4 画;一
88;夫;4 画;一
89;天;4 画;一
90;元;4 画;一
91;无;4 画;一
92;韦;4 画;一
93;云;4 画;一
94;专;4 画;一
95;丐;4 画;一
96;扎;4 画;一
97;廿;4 画;一
98;艺;4 画;一
99;木;4 画;一
100;五;4 画;一
101;支;4 画;一
102;厅;4 画;一
103;卅;4 画;一
104;不;4 画;一
105;仄;4 画;一
106;太;4 画;一
107;犬;4 画;一
108;区;4 画;一
109;历;4 画;一
110;友;4 画;一
111;歹;4 画;一
112;尤;4 画;一
113;匹;4 画;一
114;厄;4 画;一
115;车;4 画;一
116;巨;4 画;一
117;牙;4 画;一
118;屯;4 画;一
119;戈;4 画;一
120;比;4 画;一
121;互;4 画;一
122;切;4 画;一
123;瓦;4 画;一
124;止;4 画;丨
125;少;4 画;丨
126;曰;4 画;丨
127;日;4 画;丨
128;中;4 画;丨
129;贝;4 画;丨
130;内;4 画;丨
131;水;4 画;丨
132;冈;4 画;丨
133;见;4 画;丨
134;手;4 画;丿
135;午;4 画;丿
136;牛;4 画;丿
137;毛;4 画;丿
138;气;4 画;丿
139;壬;4 画;丿
140;升;4 画;丿
141;夭;4 画;丿
142;长;4 画;丿
143;仁;4 画;丿
144;仃;4 画;丿
145;什;4 画;丿
146;片;4 画;丿
147;仆;4 画;丿
148;仉;4 画;丿
149;化;4 画;丿
150;仇;4 画;丿
151;币;4 画;丿
152;仂;4 画;丿
153;仍;4 画;丿
154;仅;4 画;丿
155;斤;4 画;丿
156;爪;4 画;丿
157;反;4 画;丿
158;兮;4 画;丿
159;刈;4 画;丿
160;介;4 画;丿
161;父;4 画;丿
162;爻;4 画;丿
163;从;4 画;丿
164;仑;4 画;丿
165;今;4 画;丿
166;凶;4 画;丿
167;分;4 画;丿
168;乏;4 画;丿
169;公;4 画;丿
170;仓;4 画;丿
171;月;4 画;丿
172;氏;4 画;丿
173;勿;4 画;丿
174;风;4 画;丿
175;欠;4 画;丿
176;丹;4 画;丿
177;匀;4 画;丿
178;乌;4 画;丿
179;勾;4 画;丿
180;殳;4 画;丿
181;凤;4 画;丿
182;卞;4 画;丶
183;六;4 画;丶
184;文;4 画;丶
185;亢;4 画;丶
186;方;4 画;丶
187;闩;4 画;丶
188;火;4 画;丶
189;为;4 画;丶
190;斗;4 画;丶
191;忆;4 画;丶
192;计;4 画;丶
193;订;4 画;丶
194;户;4 画;丶
195;讣;4 画;丶
196;认;4 画;丶
197;讥;4 画;丶
198;冗;4 画;丶
199;心;4 画;丶
200;尹;4 画;乛
201;尺;4 画;乛
202;夬;4 画;乛
203;引;4 画;乛
204;丑;4 画;乛
205;爿;4 画;乛
206;巴;4 画;乛
207;孔;4 画;乛
208;队;4 画;乛
209;办;4 画;乛
210;以;4 画;乛
211;允;4 画;乛
212;邓;4 画;乛
213;予;4 画;乛
214;劝;4 画;乛
215;双;4 画;乛
216;书;4 画;乛
217;毋;4 画;乛
218;幻;4 画;乛
219;玉;4 画;一
220;刊;4 画;一
221;末;4 画;一
222;未;4 画;一
223;示;4 画;一
224;击;4 画;一
225;邗;4 画;一
226;戋;4 画;一
227;打;4 画;一
228;巧;4 画;一
229;正;4 画;一
230;扑;4 画;一
231;卉;4 画;一
232;扒;4 画;一
233;邛;4 画;一
234;功;4 画;一
235;扔;4 画;一
236;去;4 画;一
237;甘;4 画;一
238;世;4 画;一
239;艾;4 画;一
240;艽;4 画;一
241;古;4 画;一
242;节;4 画;一
243;艿;4 画;一
244;本;4 画;一
245;术;4 画;一
246;札;4 画;一
247;可;4 画;一
248;叵;4 画;一
249;匝;4 画;一
250;丙;4 画;一
251;左;4 画;一
252;厉;4 画;一
253;丕;4 画;一
254;石;4 画;一
255;右;4 画;一
256;布;4 画;一
257;夯;4 画;一
258;龙;4 画;一
259;戊;4 画;一
260;平;4 画;一
261;灭;4 画;一
262;轧;4 画;一
263;东;4 画;一
264;匜;4 画;一
265;劢;4 画;一
266;卡;4 画;丨
267;北;4 画;丨
268;占;4 画;丨
269;凸;4 画;丨
270;卢;4 画;丨
271;业;4 画;丨
272;旧;4 画;丨
273;帅;4 画;丨
274;归;4 画;丨
275;目;4 画;丨
276;旦;4 画;丨
277;且;4 画;丨
278;叮;4 画;丨
279;叶;4 画;丨
280;甲;4 画;丨
281;申;4 画;丨
282;号;4 画;丨
283;电;4 画;丨
284;田;4 画;丨
285;由;4 画;丨
286;卟;4 画;丨
287;叭;4 画;丨
288;只;4 画;丨
289;央;4 画;丨
290;史;4 画;丨
291;叱;4 画;丨
292;叽;4 画;丨
293;兄;4 画;丨
294;叼;4 画;丨
295;叩;4 画;丨
296;叫;4 画;丨
297;叻;4 画;丨
298;叨;4 画;丨
299;另;4 画;丨
300;叹;4 画;丨
301;冉;4 画;丨
302;皿;4 画;丨
303;凹;4 画;丨
304;囚;4 画;丨
305;四;4 画;丨
306;生;4 画;丿
307;失;4 画;丿
308;矢;4 画;丿
309;氕;4 画;丿
310;乍;4 画;丿
311;禾;4 画;丿
312;仨;4 画;丿
313;仕;4 画;丿
314;丘;4 画;丿
315;付;4 画;丿
316;仗;4 画;丿
317;代;4 画;丿
318;仙;4 画;丿
319;仟;4 画;丿
320;仡;4 画;丿
321;仫;4 画;丿
322;伋;4 画;丿
323;们;4 画;丿
324;仪;4 画;丿
325;白;4 画;丿
326;仔;4 画;丿
327;他;4 画;丿
328;仞;4 画;丿
329;斥;4 画;丿
330;卮;4 画;丿
331;瓜;4 画;丿
332;乎;4 画;丿
333;丛;4 画;丿
334;令;4 画;丿
335;用;4 画;丿
336;甩;4 画;丿
337;印;4 画;丿
338;氐;4 画;丿
339;乐;4 画;丿
340;尔;4 画;丿
341;句;4 画;丿
342;匆;4 画;丿
343;犰;4 画;丿
344;册;4 画;丿
345;卯;4 画;丿
346;犯;4 画;丿
347;外;4 画;丿
348;处;4 画;丿
349;冬;4 画;丿
350;鸟;4 画;丿
351;务;4 画;丿
352;刍;4 画;丿
353;包;4 画;丿
354;饥;4 画;丿
355;主;4 画;丶
356;市;4 画;丶
357;庀;4 画;丶
358;邝;4 画;丶
359;立;4 画;丶
360;冯;4 画;丶
361;邙;4 画;丶
362;玄;4 画;丶
363;闪;4 画;丶
364;兰;4 画;丶
365;半;4 画;丶
366;汀;4 画;丶
367;汁;4 画;丶
368;汇;4 画;丶
369;头;4 画;丶
370;汈;4 画;丶
371;汉;4 画;丶
372;忉;4 画;丶
373;宁;4 画;丶
374;穴;4 画;丶
375;宄;4 画;丶
376;它;4 画;丶
377;讦;4 画;丶
378;讧;4 画;丶
379;讨;4 画;丶
380;写;4 画;丶
381;让;4 画;丶
382;礼;4 画;丶
383;讪;4 画;丶
384;讫;4 画;丶
385;训;4 画;丶
386;必;4 画;丶
387;议;4 画;丶
388;讯;4 画;丶
389;记;4 画;丶
390;永;4 画;丶
391;司;4 画;乛
392;尻;4 画;乛
393;尼;4 画;乛
394;民;4 画;乛
395;弗;4 画;乛
396;弘;4 画;乛
397;阢;4 画;乛
398;出;4 画;乛
399;阡;4 画;乛
400;辽;4 画;乛
401;奶;4 画;乛
402;奴;4 画;乛
403;尕;4 画;乛
404;加;4 画;乛
405;召;4 画;乛
406;皮;4 画;乛
407;边;4 画;乛
408;孕;4 画;乛
409;发;4 画;乛
410;圣;4 画;乛
411;对;4 画;乛
412;弁;4 画;乛
413;台;4 画;乛
414;矛;4 画;乛
415;纠;4 画;乛
416;驭;4 画;乛
417;母;4 画;乛
418;幼;4 画;乛
419;丝;4 画;乛
420;匡;6 画;一
421;耒;6 画;一
422;邦;6 画;一
423;玎;6 画;一
424;玑;6 画;一
425;式;6 画;一
426;迂;6 画;一
427;刑;6 画;一
428;邢;6 画;一
429;戎;6 画;一
430;动;6 画;一
431;圩;6 画;一
432;圬;6 画;一
433;圭;6 画;一
434;扛;6 画;一
435;寺;6 画;一
436;吉;6 画;一
437;扣;6 画;一
438;扦;6 画;一
439;圪;6 画;一
440;考;6 画;一
441;托;6 画;一
442;圳;6 画;一
443;老;6 画;一
444;圾;6 画;一
445;巩;6 画;一
446;执;6 画;一
447;扩;6 画;一
448;圹;6 画;一
449;扪;6 画;一
450;扫;6 画;一
451;圯;6 画;一
452;圮;6 画;一
453;地;6 画;一
454;扬;6 画;一
455;场;6 画;一
456;耳;6 画;一
457;芋;6 画;一
458;芏;6 画;一
459;共;6 画;一
460;芊;6 画;一
461;芍;6 画;一
462;芨;6 画;一
463;芄;6 画;一
464;芒;6 画;一
465;亚;6 画;一
466;芝;6 画;一
467;芎;6 画;一
468;芑;6 画;一
469;芗;6 画;一
470;朽;6 画;一
471;朴;6 画;一
472;机;6 画;一
473;权;6 画;一
474;过;6 画;一
475;亘;6 画;一
476;臣;6 画;一
477;吏;6 画;一
478;再;6 画;一
479;协;6 画;一
480;西;6 画;一
481;压;6 画;一
482;厌;6 画;一
483;厍;6 画;一
484;戌;6 画;一
485;在;6 画;一
486;百;6 画;一
487;有;6 画;一
488;存;6 画;一
489;而;6 画;一
490;页;6 画;一
491;匠;6 画;一
492;夸;6 画;一
493;夺;6 画;一
494;夼;6 画;一
495;灰;6 画;一
496;达;6 画;一
497;戍;6 画;一
498;尥;6 画;一
499;列;6 画;一
500;死;6 画;一
501;成;6 画;一
502;夹;6 画;一
503;夷;6 画;一
504;轨;6 画;一
505;邪;6 画;一
506;尧;6 画;一
507;划;6 画;一
508;迈;6 画;一
509;毕;6 画;一
510;至;6 画;一
511;此;6 画;丨
512;乩;6 画;丨
513;贞;6 画;丨
514;师;6 画;丨
515;尘;6 画;丨
516;尖;6 画;丨
1;一;1 画;一
2;乙;1 画;乛
3;二;2 画;一
4;十;2 画;一
5;丁;2 画;一
6;厂;2 画;一
7;七;2 画;一
8;卜;2 画;丨
9;八;2 画;丿
10;人;2 画;丿
11;入;2 画;丿
12;乂;2 画;丿
13;儿;2 画;丿
14;九;2 画;丿
15;匕;2 画;丿
16;几;2 画;丿
17;刁;2 画;乛
18;了;2 画;乛
19;乃;2 画;乛
517;劣;6 画;丨
518;光;6 画;丨
519;当;6 画;丨
520;吁;6 画;丨
521;早;6 画;丨
522;吐;6 画;丨
523;吓;6 画;丨
524;旯;6 画;丨
525;曳;6 画;丨
526;虫;6 画;丨
527;曲;6 画;丨
528;团;6 画;丨
529;同;6 画;丨
530;吕;6 画;丨
531;吊;6 画;丨
532;吃;6 画;丨
533;因;6 画;丨
534;吸;6 画;丨
535;吗;6 画;丨
536;吆;6 画;丨
537;屿;6 画;丨
538;屹;6 画;丨
539;岌;6 画;丨
540;帆;6 画;丨
541;岁;6 画;丨
542;回;6 画;丨
543;岂;6 画;丨
544;屺;6 画;丨
545;则;6 画;丨
