,Date,MapID,Team1_Text,Team1_Score,Team1_ID,Team1_Name,Team2_Text,Team2_Score,Team2_ID,Team2_Name,Map_Name,Tournament_Name
0,4/13/2025 0:00,197643,Falcons,13,11283,falcons,G2,8,5995,g2,Ancient,PGL Bucharest 2025
1,4/13/2025 0:00,197642,G2,7,5995,g2,Falcons,13,11283,falcons,Nuke,PGL Bucharest 2025
2,4/13/2025 0:00,197638,Falcons,13,11283,falcons,G2,5,5995,g2,Mirage,PGL Bucharest 2025
3,4/13/2025 0:00,197632,FaZe,13,6667,faze,Complexity,11,5005,complexity,Inferno,PGL Bucharest 2025
4,4/13/2025 0:00,197629,FaZe,13,6667,faze,Complexity,10,5005,complexity,Dust2,PGL Bucharest 2025
5,4/12/2025 0:00,197603,G2,13,5995,g2,Complexity,9,5005,complexity,Dust2,PGL Bucharest 2025
6,4/12/2025 0:00,197597,Complexity,8,5005,complexity,G2,13,5995,g2,Anubis,PGL Bucharest 2025
7,4/12/2025 0:00,197587,Falcons,13,11283,falcons,FaZe,10,6667,faze,Mirage,PGL Bucharest 2025
8,4/12/2025 0:00,197583,FaZe,16,6667,faze,Falcons,14,11283,falcons,Ancient,PGL Bucharest 2025
9,4/12/2025 0:00,197578,Falcons,13,11283,falcons,FaZe,4,6667,faze,Nuke,PGL Bucharest 2025
10,4/11/2025 0:00,197528,Virtus.pro,9,5378,virtuspro,G2,13,5995,g2,Mirage,PGL Bucharest 2025
11,4/11/2025 0:00,197524,Virtus.pro,11,5378,virtuspro,G2,13,5995,g2,Dust2,PGL Bucharest 2025
12,4/11/2025 0:00,197523,Complexity,13,5005,complexity,Aurora,9,11861,aurora,Nuke,PGL Bucharest 2025
13,4/11/2025 0:00,197522,Aurora,9,11861,aurora,Complexity,13,5005,complexity,Train,PGL Bucharest 2025
14,4/11/2025 0:00,197519,Aurora,13,11861,aurora,Complexity,9,5005,complexity,Anubis,PGL Bucharest 2025
15,4/11/2025 0:00,197516,3DMAX,5,4914,3dmax,FaZe,13,6667,faze,Nuke,PGL Bucharest 2025
16,4/11/2025 0:00,197514,3DMAX,0,4914,3dmax,FaZe,13,6667,faze,Anubis,PGL Bucharest 2025
17,4/11/2025 0:00,197511,GamerLegion,7,9928,gamerlegion,Falcons,13,11283,falcons,Ancient,PGL Bucharest 2025
18,4/11/2025 0:00,197508,Falcons,13,11283,falcons,GamerLegion,7,9928,gamerlegion,Inferno,PGL Bucharest 2025
19,4/11/2025 0:00,197506,GamerLegion,13,9928,gamerlegion,Falcons,7,11283,falcons,Train,PGL Bucharest 2025
20,4/10/2025 0:00,197489,Falcons,16,11283,falcons,The MongolZ,14,6248,the-mongolz,Ancient,PGL Bucharest 2025
21,4/10/2025 0:00,197487,Falcons,13,11283,falcons,The MongolZ,6,6248,the-mongolz,Dust2,PGL Bucharest 2025
22,4/10/2025 0:00,197485,Falcons,9,11283,falcons,The MongolZ,13,6248,the-mongolz,Mirage,PGL Bucharest 2025
23,4/10/2025 0:00,197481,FaZe,13,6667,faze,Apogee,8,12916,apogee,Ancient,PGL Bucharest 2025
24,4/10/2025 0:00,197478,Apogee,5,12916,apogee,FaZe,13,6667,faze,Dust2,PGL Bucharest 2025
25,4/10/2025 0:00,197475,Virtus.pro,13,5378,virtuspro,Astralis,6,6665,astralis,Train,PGL Bucharest 2025
26,4/10/2025 0:00,197472,Astralis,10,6665,astralis,Virtus.pro,13,5378,virtuspro,Dust2,PGL Bucharest 2025
